Month,Number of Unique Clients,Number of Sessions,Number of Unique Users,Number of Unique APs,Average Users per AP,Average Clients per AP,Client User Total Session Time (Hours),Average Session Time (Minutes),Average Session Time per User (Minutes),Average Session Time per Client (Minutes),Total Traffic (MB),Total Throughput (Mbps),Total Sessions,Total Clients,Total Unique Users,Client Traffic Total Session Time (Hours),Average Traffic per Session (KB),Average Traffic per User (KB),Average Traffic per Client (KB),Average Throughput per Session (Kbps),Average Throughput per User (Kbps),Average Throughput per Client (Kbps)
Month,,,,,,,,,,,,,,,,,,,,,,
Nov-14,"126,388","16,549","16,549",56,295.52,0,"64,327.88",30.54,233.23,0,"391,859.99","1,101.1600000000001","126,388",0,"16,549","64,327.88","3,100.45","23,678.77",0,8.7100000000000009,66.540000000000006,0
Dec-14,"123,140","20,097","20,097",91,220.85,0,"55,693.29",27.14,166.27,0,"241,016.31",747.3,"123,140",0,"20,097","55,693.29","1,957.25","11,992.65",0,6.07,37.18,0
Feb-15,"184,401","21,343","21,343",134,159.28,0,"521,269.83",169.61,"1,465.41",0,"587,543.41","2,965.85","184,401",0,"21,343","521,269.83","3,186.23","27,528.62",0,16.079999999999998,138.96,0
Mar-15,"178,032","20,497","20,497",147,139.44,0,"567,704.56999999995",191.33,"1,661.82",0,"596,553.23","2,832.31","178,032",0,"20,497","567,704.56999999995","3,350.82","29,104.42",0,15.91,138.18,0
Apr-15,"218,742","22,394","22,394",155,144.47999999999999,0,"674,175.54",184.92,"1,806.31",0,"1,538,040.63","11,559.84","218,742",0,"22,394","674,175.54","7,031.3","68,680.92",0,52.85,516.20000000000005,0
May-15,"217,091","22,290","22,290",169,131.88999999999999,0,"721,818.61",199.5,"1,942.98",0,"1,352,103.87","9,018.7999999999993","217,091",0,"22,290","721,818.61","6,228.28","60,659.66",0,41.54,404.61,0
Jun-15,"229,710","22,892","22,894",173,132.32,0,"726,038.95",189.64,"1,902.95",0,"1,152,795.32","5,702.6","229,710",0,"22,892","726,038.95","5,018.4799999999996","50,358",0,24.83,249.11,0
Jul-15,"235,214","24,548","24,551",176,139.47999999999999,0,"722,592.66",184.32,"1,766.15",0,"1,382,327.56","6,925.54","235,214",0,"24,548","722,592.66","5,876.89","56,311.21",0,29.44,282.12,0
Aug-15,"221,615","24,434","24,440",182,134.25,0,"721,722.37",195.4,"1,772.26",0,"1,063,870.94","4,287.53","221,615",0,"24,434","721,722.37","4,800.54","43,540.6",0,19.350000000000001,175.47,0
Sep-15,"27,681","222,585","27,686",190,145.72,145.69,"744,191.19",200.6,"1,612.78","1,613.07","1,505,613.98","3,520.66","222,585","27,681","27,686","744,191.19","6,764.22","54,381.78","54,391.6",15.82,127.16,127.19
Oct-15,"30,708","274,767","30,710",229,134.1,134.1,"945,176.26",206.4,"1,846.65","1,846.77","2,420,383.4500000002","5,639.69","274,767","30,708","30,710","945,176.26","8,808.86","78,814.179999999993","78,819.31",20.53,183.64,183.66
Nov-15,"36,629","310,973","36,633",252,145.37,145.35,"1,046,899.55",201.99,"1,714.68","1,714.87","2,766,406.91","5,864.5","310,973","36,629","36,633","1,046,899.55","8,895.9699999999993","75,516.800000000003","75,525.05",18.86,160.09,160.11000000000001
Dec-15,"48,607","643,887","48,617",251,193.69,193.65,"1,818,940.32",169.5,"2,244.8200000000002","2,245.2800000000002","5,226,353.91","12,749.28","644,404","45,012","45,019","1,918,544.99","8,110.37","116,092.18","116,110.24",19.78,283.2,283.24
Jan-16,"48,607","643,887","48,617",251,193.69,193.65,"1,818,940.32",169.5,"2,244.8200000000002","2,245.2800000000002","5,747,448.8499999996","14,543.01","643,887","48,607","48,617","1,818,976.35","8,926.18","118,218.91","118,243.23",22.59,299.13,299.2
Feb-16,"49,218","741,060","49,224",261,188.6,188.57,"3,753,534.71",303.91000000000003,"4,575.25","4,575.8100000000004","5,534,756.9400000004","12,002.83","740,995","49,218","49,224","3,753,517.75","7,469.36","112,440.21","112,453.92",16.2,243.84,243.87
Mar-16,"48,364","622,656","48,373",265,182.54,182.51,"2,247,172.96",216.54,"2,787.31","2,787.83","5,018,056.9800000004","9,340.6","622,656","48,364","48,373","2,247,172.96","8,059.12","103,736.73","103,756.04",15,193.1,193.13
Apr-16,"47,076","676,341","47,085",260,181.1,181.06,"2,191,056.6800000002",194.37,"2,792.04","2,792.58","5,764,204.3099999996","11,945.22","676,341","47,076","47,085","2,191,056.6800000002","8,522.6299999999992","122,421.24","122,444.65",17.66,253.69,253.74
May-16,"41,244","623,110","41,255",261,158.07,158.02000000000001,"2,446,986.23",235.62,"3,558.82","3,559.77","5,682,107","12,278.33","623,110","41,244","41,255","2,446,986.23","9,118.9500000000007","137,731.35","137,768.09",19.7,297.62,297.7
Jun-16,"38,619","612,233","38,627",263,146.87,146.84,"1,705,266.85",167.12,"2,648.82","2,649.37","6,249,824.7199999997","15,034.22","612,233","38,619","38,627","1,705,266.73","10,208.25","161,799.38","161,832.9",24.56,389.22,389.3
Jul-16,"44,960","1,056,728","44,984",273,164.78,164.69,"265,703.03999999998",15.09,354.4,354.59,"5,223,420.33","42,113.4","1,056,728","44,960","44,984","265,732.90999999997","4,943.01","116,117.29","116,179.28",39.85,936.19,936.69
Aug-16,"45,219","1,002,063","45,245",317,142.72999999999999,142.65,"265,076.55",15.87,351.52,351.72,"4,843,916.37","38,813.660000000003","1,002,063","45,219","45,245","265,076.68","4,833.9399999999996","107,059.71","107,121.26",38.729999999999997,857.86,858.35
Sep-16,"47,423","884,219","47,447",335,141.63,141.56,"1,415,380.55",96.04,"1,789.85","1,790.75","4,465,326.18","35,492.129999999997","884,219","47,423","47,447","1,415,382.87","5,050.0200000000004","94,111.88","94,159.5",40.14,748.04,748.42
Oct-16,"48,753","1,013,100","48,785",334,146.06,145.97,"272,255.64",16.12,334.84,335.06,"5,138,699.22","41,442.34","1,013,100","48,753","48,785","272,255.64","5,072.25","105,333.59","105,402.73",40.91,849.49,850.05
Nov-16,"47,306","985,535","47,338",331,143.02,142.92,"247,838.69",15.09,314.13,314.34,"4,952,293.75","38,898.52","985,535","47,306","47,338","277,364.57","5,145.58","107,126.38","107,198.85",40.42,841.44,842.01
Feb-17,"52,629","1,060,130","52,648",358,147.06,147.01,"332,571.95",18.82,379.01,379.15,"5,587,888.9","39,728.92","1,060,130","52,629","52,648","332,571.95","5,270.95","106,136.77","106,175.09",37.48,754.61,754.89
Mar-17,"51,599","940,346","51,621",367,140.66,140.6,"299,509.28",19.11,348.12,348.27,"5,312,781.33","37,140.12","940,346","51,599","51,621","299,509.28","5,649.82","102,918.99","102,962.87",39.5,719.48,719.78
Apr-17,"52,646","880,234","52,672",365,144.31,144.24,"285,419.94",19.46,325.13,325.29,"5,087,457.64","35,911.36","880,234","52,646","52,672","285,421.66","5,779.66","96,587.52","96,635.22",40.8,681.79,682.13
May-17,"48,857","903,507","48,875",367,133.17,133.13,"368,337.23",24.46,452.18,452.35,"5,077,228.41","35,576.29","903,507","48,857","48,875","368,337.23","5,619.47","103,881.91","103,920.18",39.38,727.9,728.17
Jun-17,"47,731","839,974","47,746",366,130.45,130.41,"278,677.01",19.91,350.2,350.31,"4,747,738.52","33,273.97","839,974","47,731","47,746","278,679.97","5,652.24","99,437.41","99,468.66",39.61,696.9,697.11
Jul-17,"49,254","894,864","49,273",370,133.17,133.12,"361,428.68",24.23,440.11,440.28,"4,997,496.53","34,755.03","894,864","49,254","49,273","361,430.75","5,584.64","101,424.64","101,463.77",38.84,705.36,705.63
Aug-17,"48,457","909,072","48,484",375,129.29,129.22,"282,084.58",18.62,349.09,349.28,"4,883,601.85","34,223.16","909,072","48,457","48,484","282,085.65","5,372.07","100,726.05","100,782.17",37.65,705.87,706.26
Sep-17,"48,707","771,780","48,730",377,129.26,129.2,"267,470.79",20.79,329.33,329.49,"4,374,082.9","28,597.66","771,780","48,707","48,730","267,470.79","5,667.53","89,761.6","89,803.99",37.05,586.86,587.14
Oct-17,"48,764","844,637","48,794",375,130.12,130.04,"1,188,493.42",84.43,"1,461.44","1,462.34","5,093,901.34","32,866.12","844,637","48,764","48,794","1,188,493.42","6,030.88","104,396.06","104,460.28",38.91,673.57,673.98
Nov-17,"47,245","872,850","47,270",372,127.07,127,"278,516.81",19.15,353.52,353.71,"5,258,953.05","35,087.36","872,850","47,245","47,270","278,519.81","6,025.04","111,253.5","111,312.37",40.2,742.28,742.67
Dec-17,"45,273","767,674","45,292",369,122.74,122.69,"258,618.87",20.21,342.6,342.75,"4,716,814.38","29,878.98","767,674","45,273","45,292","258,618.59","6,144.29","104,142.33","104,186.04",38.92,659.7,659.97
Jan-18,"42,447","722,872","42,466",369,115.08,115.03,"235,130.3",19.52,332.21,332.36,"4,727,890.06","30,930.01","722,872","42,447","42,466","235,130.3","6,540.42","111,333.54","111,383.37",42.79,728.35,728.67
Feb-18,"47,428","872,288","47,448",367,129.29,129.23,"286,234.95",19.69,361.96,362.11,"5,192,315.89","33,734.69","872,288","47,428","47,448","286,245.42","5,952.52","109,431.71","109,477.86",38.67,710.98,711.28
Mar-18,"46,920","838,345","46,938",367,127.9,127.85,"272,403.54",19.5,348.21,348.34,"5,050,928.26","32,730.04","838,345","46,920","46,938","272,403.54","6,024.88","107,608.51","107,649.79",39.04,697.3,697.57
Apr-18,"46,523","783,433","46,544",364,127.87,127.81,"251,470.39",19.26,324.17,324.32,"5,220,018.95","34,682.13","783,433","46,523","46,544","251,498.31","6,663.01","112,152.35","112,202.97",44.27,745.15,745.48
May-18,"42,745","782,796","42,761",363,117.8,117.75,"2,584,500.78",198.1,"3,626.44","3,627.79","4,610,719.26","31,768.39","782,796","42,745","42,761","2,584,500.78","5,890.06","107,825.34","107,865.7",40.58,742.93,743.21
Jun-18,"39,614","711,258","39,627",349,113.54,113.51,"222,073.06",18.73,336.25,336.36,"4,263,556.2","29,819.42","711,258","39,614","39,627","222,076.59","5,994.39","107,592.2","107,627.51",41.92,752.5,752.75
Jul-18,"40,239","690,437","40,251",365,110.28,110.24,"224,414.85",19.5,334.52,334.62,"4,426,618.23","28,761.93","690,437","40,239","40,251","224,414.85","6,411.33","109,975.36","110,008.16",41.66,714.56,714.78
